date,salescount
9/11/2017,41
9/12/2017,44
9/13/2017,41
9/14/2017,30
9/15/2017,31
9/16/2017,25
9/17/2017,16
9/18/2017,43
9/19/2017,34
9/20/2017,35
9/21/2017,33
9/22/2017,30
9/23/2017,24
9/24/2017,25
9/25/2017,42
9/26/2017,34
9/27/2017,29
9/28/2017,34
9/29/2017,38
9/30/2017,33
10/1/2017,16
10/2/2017,33
10/3/2017,42
10/4/2017,32
10/5/2017,45
10/6/2017,38
10/7/2017,30
10/8/2017,21
10/9/2017,32
10/10/2017,34
10/11/2017,29
10/12/2017,26
10/13/2017,34
10/14/2017,23
10/15/2017,22
10/16/2017,35
10/17/2017,50
10/18/2017,37
10/19/2017,30
10/20/2017,38
10/21/2017,13
10/22/2017,25
10/23/2017,33
10/24/2017,28
10/25/2017,39
10/26/2017,42
10/27/2017,32
10/28/2017,21
10/29/2017,9
10/30/2017,28
10/31/2017,33
11/1/2017,40
11/2/2017,25
11/3/2017,30
11/4/2017,15
11/5/2017,26
11/6/2017,28
11/7/2017,34
11/8/2017,29
11/9/2017,33
11/10/2017,30
11/11/2017,16
11/12/2017,23
11/13/2017,33
11/14/2017,32
11/15/2017,38
11/16/2017,30
11/17/2017,44
11/18/2017,12
11/19/2017,17
11/20/2017,36
11/21/2017,28
11/22/2017,33
11/23/2017,0
11/24/2017,8
11/25/2017,21
11/26/2017,28
11/27/2017,31
11/28/2017,42
11/29/2017,36
11/30/2017,44
12/1/2017,23
12/2/2017,36
12/3/2017,18
12/4/2017,31
12/5/2017,26
12/6/2017,28
12/7/2017,28
12/8/2017,19
12/9/2017,20
12/10/2017,23
12/11/2017,26
12/12/2017,38
12/13/2017,37
12/14/2017,23
12/15/2017,24
12/16/2017,16
12/17/2017,8
12/18/2017,34
12/19/2017,28
12/20/2017,37
12/21/2017,25
12/22/2017,23
12/23/2017,20
12/24/2017,0
12/25/2017,0
12/26/2017,23
12/27/2017,31
12/28/2017,33
12/29/2017,35
12/30/2017,19
12/31/2017,5
1/2/2018,40
1/3/2018,36
1/4/2018,48
1/5/2018,41
1/6/2018,27
1/7/2018,23
1/8/2018,29
1/9/2018,33
1/10/2018,35
1/11/2018,39
1/12/2018,36
1/13/2018,27
1/14/2018,19
1/15/2018,27
1/16/2018,43
1/17/2018,38
1/18/2018,41
1/19/2018,35
1/20/2018,30
1/21/2018,24
1/22/2018,32
1/23/2018,36
1/24/2018,38
1/25/2018,38
1/26/2018,38
1/27/2018,22
1/28/2018,24
1/29/2018,34
1/30/2018,36
1/31/2018,36
2/1/2018,47
2/2/2018,33
2/3/2018,40
2/4/2018,18
2/5/2018,47
2/6/2018,39
2/7/2018,36
2/8/2018,42
2/9/2018,35
2/10/2018,24
2/11/2018,17
2/12/2018,28
2/13/2018,37
2/14/2018,27
2/15/2018,29
2/16/2018,36
2/17/2018,26
2/18/2018,18
2/19/2018,30
2/20/2018,38
2/21/2018,31
2/22/2018,45
2/23/2018,34
2/24/2018,26
2/25/2018,20
2/26/2018,37
2/27/2018,40
2/28/2018,46
3/1/2018,33
3/2/2018,33
3/3/2018,29
3/4/2018,23
3/5/2018,41
3/6/2018,39
3/7/2018,27
3/8/2018,46
3/9/2018,37
3/10/2018,22
3/11/2018,21
3/12/2018,41
3/13/2018,35
3/14/2018,44
3/15/2018,27
3/16/2018,32
3/17/2018,30
3/18/2018,11
3/19/2018,47
3/20/2018,40
3/21/2018,58
3/22/2018,32
3/23/2018,43
3/24/2018,31
3/25/2018,21
3/26/2018,39
3/27/2018,37
3/28/2018,43
3/29/2018,43
3/30/2018,45
3/31/2018,28
4/1/2018,0
4/2/2018,43
4/3/2018,37
4/4/2018,59
4/5/2018,50
4/6/2018,36
4/7/2018,44
4/8/2018,15
4/9/2018,43
4/10/2018,39
4/11/2018,50
4/12/2018,37
4/13/2018,48
4/14/2018,28
4/15/2018,22
4/16/2018,45
4/17/2018,44
4/18/2018,31
4/19/2018,43
